,mean,std
Dietzia,0.00048442078719809756,0.004359787084782885
Dialister,0.0017404839348773452,0.007917463974402685
Sutterella,0.0,0.0
Tissierella,0.0,0.0
Brevundimonas,0.0,0.0
Johnsonella,0.0,0.0
Catonella,0.009013134481590348,0.03805651015777861
Polynucleobacter,0.0,0.0
Filifactor,0.00017786868844075855,0.001600818195966827
Abiotrophia,0.0006367504195957134,0.0034985147060604587
Lautropia,0.0008780677364938012,0.005201152539335995
Mitsuokella,0.0001951219512195122,0.0017560975609756152
Chryseobacterium,0.0031973840269385145,0.01988554260788429
Empedobacter,0.0002113580617002561,0.0019022225553023044
Bergeyella,0.0008923259964306951,0.008030933967876267
Holdemania,0.0,0.0
Mannheimia,0.0,0.0
Actinobaculum,0.0,0.0
Delftia,0.0,0.0
Centipeda,0.0,0.0
Leclercia,0.0,0.0
Slackia,0.0,0.0
Eggerthella,0.0,0.0
Cryptobacterium,0.0,0.0
Pedobacter,0.0001951219512195122,0.0017560975609756152
Mogibacterium,0.0,0.0
Coprobacillus,0.0,0.0
Collinsella,0.0,0.0
Ensifer,0.0,0.0
Pseudoramibacter,0.0,0.0
Granulicatella,0.0029687567085119027,0.012459614609753353
Bulleidia,0.0,0.0
Solobacterium,0.00027479164951097927,0.0017386875980476531
Olsenella,0.0002286601617893122,0.0020579414561038047
Catenibacterium,0.0,0.0
Anaeroglobus,0.0,0.0
Raoultella,0.0,0.0
Peptoniphilus,0.0019701552805344497,0.009049472091979094
Anaerococcus,0.0002816550601579122,0.0017818313057286128
Sneathia,0.0,0.0
Shuttleworthia,0.0,0.0
Varibaculum,0.0,0.0
Dorea,0.0,0.0
Allofustis,0.0,0.0
Tannerella,0.0009711470615051087,0.00395743182549714
Scardovia,0.00025249944390003413,0.002272494995100307
Parascardovia,0.0,0.0
Tepidiphilus,0.0,0.0
Anaerostipes,0.0,0.0
Morococcus,0.0,0.0
Histophilus,0.0,0.0
Faecalibacterium,0.0,0.0
Ottowia,0.0,0.0
Alistipes,0.0,0.0
Akkermansia,0.0,0.0
Hespellia,0.0,0.0
Anaerotruncus,0.0,0.0
Marvinbryantia,0.0,0.0
Anaerofustis,0.0,0.0
Oribacterium,0.0009372478325449647,0.004694426397441647
Catabacter,0.0,0.0
Odoribacter,0.0,0.0
Subdoligranulum,0.0,0.0
Petrimonas,0.0,0.0
Parabacteroides,0.0,0.0
Gulbenkiania,0.0,0.0
Barnesiella,0.0,0.0
Aggregatibacter,0.005954425888583078,0.04710964407788777
Alloscardovia,0.0,0.0
Lactonifactor,0.0,0.0
Adlercreutzia,0.0,0.0
Oscillibacter,0.0,0.0
Cloacibacillus,0.0,0.0
Sharpea,0.0,0.0
Parvimonas,0.0,0.0
Blautia,0.0,0.0
Butyricimonas,0.0,0.0
Paraprevotella,0.0,0.0
Parasutterella,0.0,0.0
Butyricicoccus,0.0,0.0
Robinsoniella,0.0,0.0
Pyramidobacter,0.0,0.0
Gordonibacter,0.0,0.0
Anaerosporobacter,0.0,0.0
Mycobacteroides,0.0,0.0
Necropsobacter,0.0,0.0
Phocaeicola,0.0,0.0
Christensenella,0.0,0.0
Pseudoflavonifractor,0.0,0.0
Murdochiella,0.0,0.0
Lachnoanaerobaculum,0.0010297006709021343,0.004845705200338163
Stomatobaculum,0.001904555325732806,0.009368604851197445
Anaerosphaera,0.0,0.0
Eggerthia,0.00013340151633056829,0.0012006136469751144
Alloprevotella,0.016008892625098126,0.03699658527276663
Lelliottia,0.0,0.0
Coprobacter,0.0,0.0
Intestinimonas,0.0,0.0
Fusicatenibacter,0.0,0.0
Eisenbergiella,0.0,0.0
Candidatus Stoquefichus,0.0,0.0
Dielma,0.0,0.0
Kallipyga,0.0,0.0
Senegalimassilia,0.0,0.0
Romboutsia,0.0,0.0
Intestinibacter,0.0,0.0
Asaccharospora,0.0,0.0
Erysipelatoclostridium,0.0,0.0
Lachnoclostridium,0.0,0.0
Tyzzerella,0.0,0.0
Faecalitalea,0.0,0.0
Holdemanella,0.0,0.0
Faecalicoccus,0.0,0.0
Ezakiella,0.0,0.0
Sanguibacteroides,0.0,0.0
Mageeibacillus,0.0,0.0
Hungatella,0.0,0.0
Fenollaria,0.0,0.0
Levyella,0.0,0.0
Faecalibaculum,0.0,0.0
Sellimonas,0.0,0.0
Lawsonella,0.0,0.0
Mycolicibacterium,0.0,0.0
Clostridioides,0.0,0.0
Ruthenibacterium,0.0,0.0
Gabonibacter,0.0,0.0
Pseudopropionibacterium,0.0,0.0
Peptoanaerobacter,0.0010348816399838195,0.00653379260962356
Gabonia,0.0,0.0
Bariatricus,0.0,0.0
Neglecta,0.0,0.0
Emergencia,0.0,0.0
Culturomica,0.0,0.0
Mediterranea,0.0,0.0
Phocea,0.0,0.0
Prevotellamassilia,0.00024982690564394637,0.002248442150795514
Traorella,0.0,0.0
Tidjanibacter,0.0,0.0
Bittarella,0.0,0.0
Neofamilia,0.0,0.0
Angelakisella,0.0,0.0
Libanicoccus,0.0,0.0
Merdibacter,0.0,0.0
Massilioclostridium,0.0,0.0
Criibacterium,0.00014114151141367682,0.0012702736027230938
Fournierella,0.0,0.0
Lagierella,0.0,0.0
Urmitella,0.0,0.0
Colibacter,0.0,0.0
Alterileibacterium,0.0,0.0
Negativibacillus,0.0,0.0
Duodenibacillus,0.0,0.0
